Database,Table_Name,Data_Item_Name,Data_Item_Description,Data_Type,Code_(TBC),Code_Description_(TBC),Is_Derived_Item,Derivation_Methodology,Author,Created_Date,Data Dictionary Name,Data Dictionary Links
NHSE_SEM_Live,tbl_Data_SEM_APCS,APCS_Ident,Primary Key. Use this field to link to the APCS* tables,bigint,,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,APCS_Load_ID,,int,,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,APCS_PCD_Indicator,"Indicates whether the spell contains any PCD in free text fields. Any PCD is removed from the text fields and replaced with a marker within the string, e.g. if an NHS Number is found this is replaced with the text ""_<NHS_No>_""",varchar(1),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Spell_ID,"The spell id used in spell construction, 98% of records use the SUS_PbR_SpellID",varchar(50),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Spell_ID_Type,The spell id type used,varchar(100),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Generated_Record_ID,Generated Record Identifier,bigint,,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,PbR_Spell_ID,PBR Spell ID,varchar(15),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Reason_for_Access,Reason for Access,varchar(6),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Applicable_Date_Time,Applicable date/time,datetime,,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Extract_Date_Time,Extract date/time,datetime,,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Local_Patient_ID,"A number used to identify a PATIENT uniquely within a Health Care Provider. It may be different from the PATIENT's casenote number and may be assigned automatically by the computer system.
",varchar(13),,,Not derrived by TNR,,SUS R13,,LOCAL PATIENT IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/l/lo/local_patient_identifier_de.asp?shownav=1?query=%22LOCAL+PATIENT+IDENTIFIER%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Org_Code_Local_Patient_ID,ORGANISATION CODE (LOCAL PATIENT IDENTIFIER) is the ORGANISATION CODE of the Organisation that assigned the LOCAL PATIENT IDENTIFIER.,varchar(6),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE (LOCAL PATIENT IDENTIFIER) ,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(local_patient_identifier)_de.asp?shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Org_Code_Patient_Pathway_Identifier_Issuer,It is the ORGANISATION CODE of the Organisation issuing the PATIENT PATHWAY IDENTIFIER. ,varchar(6),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE (PATIENT PATHWAY IDENTIFIER ISSUER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(patient_pathway_identifier_issuer)_de.asp?shownav=1?query=%22organisation+code%22&rank=10.71428&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Unique_Booking_Reference_Number_Converted,Unique Booking Reference Number Converted,varchar(15),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Patient_Pathway_Identifier,"An identifier, which together with the ORGANISATION CODE / ORGANISATION IDENTIFIER of the issuer, uniquely identifies a PATIENT PATHWAY.",varchar(26),,,Not derrived by TNR,,SUS R13,,PATIENT PATHWAY IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/p/pati/patient_pathway_identifier_de.asp?shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,RTT_Period_Status,Referral To Treatment Period Status,varchar(2),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,RTT_Period_Start_Date,Referral To Treatment Period Start Date,datetime,,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,RTT_Period_End_Date,Referral To Treatment Period End Date,datetime,,,Not derrived by TNR,,SUS R13,,,
